,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipprob,precipcover,preciptype,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,daytime,pressure,daily_score
3006,26.5,12.9,20.5,26.5,12.9,20.5,10.4,56.5,0,0.0,0,25.9,10.1,309.4,33.3,18.4,335.1,29.0,9,0.15,15.005555555555556,1011.4,88.72176162356993
3007,27.5,14.7,20.8,26.9,14.7,20.8,12.6,62.0,100,4.17,1,37.1,22.1,56.3,38.2,17.8,298.2,25.7,8,0.19,15.005277777777778,1013.0,75.40305457691292
3008,24.8,15.1,18.8,24.8,15.1,18.8,14.1,75.9,100,16.67,1,37.1,16.8,33.1,71.3,15.1,303.2,26.2,9,0.22,15.004166666666666,1012.8,79.90494723943054
3009,22.7,14.7,17.5,22.7,14.7,17.5,12.7,73.8,100,12.5,1,51.8,17.8,59.7,59.9,17.3,201.2,17.5,5,0.25,15.001666666666667,1014.0,72.81033086066263
3010,23.9,12.4,18.7,23.9,12.4,18.7,11.2,64.3,100,4.17,1,27.7,14.3,32.6,35.9,18.3,331.4,28.6,10,0.28,14.998611111111112,1013.5,71.85482266486696
3011,23.8,12.9,19.2,23.8,12.9,19.2,10.5,58.9,0,0.0,0,31.7,18.4,37.2,45.4,18.3,344.1,29.8,10,0.32,14.994722222222222,1011.4,86.40065974038143
3012,23.4,14.1,16.7,23.4,14.1,16.7,11.9,75.0,100,12.5,1,48.2,18.0,38.0,70.4,16.0,204.5,17.6,6,0.35,14.989166666666666,1009.7,73.7461329729993
3013,22.9,14.2,17.6,22.9,14.2,17.6,11.7,71.6,100,12.5,1,35.3,18.5,341.7,66.2,16.9,205.9,17.7,8,0.38,14.983055555555556,1010.0,77.90610613934646
3014,22.5,11.7,17.8,22.5,11.7,17.8,11.1,67.7,100,4.17,1,20.5,10.0,74.1,39.9,18.2,298.8,25.8,9,0.41,14.976111111111111,1015.2,73.99970668635474
3015,22.8,14.0,18.6,22.8,14.0,18.6,11.8,65.5,100,4.17,1,27.7,16.2,55.2,60.8,17.4,282.4,24.5,8,0.44,14.968055555555555,1016.8,77.34078787011701
3016,27.8,13.2,20.7,27.0,13.2,20.6,11.1,57.9,0,0.0,0,20.5,11.2,51.4,24.5,18.4,347.7,30.0,10,0.48,14.95888888888889,1019.3,90.52145759177526
3017,27.5,15.9,21.4,27.0,15.9,21.3,12.1,57.7,100,4.17,1,40.7,23.0,36.0,29.6,18.5,358.5,30.8,10,0.5,14.948888888888888,1017.7,71.94866341326174
3018,26.6,15.6,21.1,26.6,15.6,21.1,10.6,54.2,0,0.0,0,37.1,18.6,29.3,42.3,18.1,325.3,28.1,9,0.55,14.937777777777777,1019.1,88.82957663787909
3019,27.7,15.5,21.7,26.9,15.5,21.6,10.2,51.3,0,0.0,0,33.5,16.5,54.9,33.7,18.6,361.6,31.0,10,0.58,14.925833333333333,1018.6,87.71907251641574
3020,29.6,15.8,23.3,28.2,15.8,22.9,11.0,49.7,0,0.0,0,24.1,13.4,44.5,20.6,18.7,357.1,30.7,10,0.62,14.913333333333334,1016.9,86.7960604101701
3021,28.8,17.7,23.3,28.1,17.7,23.2,12.9,54.0,0,0.0,0,35.3,20.3,27.6,31.0,18.1,277.4,23.9,9,0.65,14.899444444444445,1015.9,91.41514742479704
3022,28.5,16.4,22.7,27.5,16.4,22.5,11.8,53.2,0,0.0,0,38.9,20.3,42.9,37.3,18.3,357.7,30.9,10,0.69,14.885,1016.3,89.70735001887631
3023,28.6,15.6,23.2,27.5,15.6,22.9,11.0,49.7,0,0.0,0,35.3,16.1,52.7,21.4,18.7,363.4,31.4,10,0.75,14.869444444444444,1014.9,85.4413619131514
