,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipprob,precipcover,preciptype,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,daytime,pressure,daily_score
0,24.2,8.6,16.5,24.2,7.4,16.3,-3.0,30.0,0,0.0,0,42.8,15.4,133.6,82.5,14.7,181.0,15.4,8,0.0,12.661388888888888,1012.1,65.02713845026084
1,22.4,14.3,18.6,22.4,14.3,18.6,-9.3,14.5,0,0.0,0,70.6,23.4,226.9,57.7,16.1,264.0,22.7,9,0.04,12.705,1005.4,50.334595267841244
2,18.2,10.2,13.9,18.2,10.2,13.9,-3.9,29.8,0,0.0,0,83.5,34.2,230.7,55.4,13.1,241.6,21.0,9,0.07,12.748055555555556,1008.1,44.27094812080696
3,15.6,4.3,11.0,15.6,4.3,10.9,-3.0,38.7,0,0.0,0,41.8,16.5,233.4,39.1,14.4,254.5,21.9,8,0.1,12.791666666666666,1015.8,46.25657288126341
4,19.3,10.0,14.2,19.3,10.0,14.2,-0.3,38.2,0,0.0,0,33.1,12.9,310.7,76.0,15.5,168.1,14.5,6,0.13,12.835,1009.4,66.3869055793231
5,18.6,5.5,12.9,18.6,4.7,12.9,-0.3,43.0,0,0.0,0,25.6,10.8,231.4,29.9,17.5,283.7,24.5,9,0.16,12.878055555555555,1008.8,56.571523312214445
6,18.4,5.3,12.5,18.4,4.0,12.1,2.7,54.7,100,4.17,1,76.3,14.7,169.3,58.3,13.1,179.3,15.5,7,0.2,12.921111111111111,1007.7,43.00440592503136
7,14.3,9.1,12.0,14.3,7.5,11.9,5.3,64.1,100,8.33,1,55.4,18.4,245.0,64.1,14.1,205.3,17.8,8,0.23,12.963888888888889,1004.2,53.056119082468946
8,21.3,4.0,12.8,21.3,4.0,12.8,2.4,54.6,0,0.0,0,30.2,11.9,163.6,38.3,17.2,296.0,25.5,9,0.25,13.006666666666666,1011.7,65.68288679959399
9,21.9,10.8,16.2,21.9,10.8,16.2,3.3,44.5,0,0.0,0,36.4,13.4,196.6,50.2,17.2,262.4,22.7,9,0.29,13.049444444444445,1006.2,70.46511744747268
10,15.9,5.8,12.0,15.9,3.1,11.4,1.2,48.6,100,4.17,1,45.0,20.9,247.6,65.6,13.1,177.2,15.4,7,0.33,13.091666666666667,1002.4,42.26609098082073
11,7.5,2.9,5.1,4.8,-0.7,1.9,-5.6,46.7,0,0.0,3,48.2,32.1,312.3,80.0,13.5,205.7,17.8,6,0.36,13.134166666666667,1014.7,40.77264460290938
12,7.8,-2.3,3.8,6.0,-4.6,2.5,-8.0,43.7,0,0.0,3,32.8,12.8,304.2,47.2,17.2,275.1,23.9,9,0.39,13.176111111111112,1019.3,32.03143336588652
13,13.9,0.0,7.0,13.9,0.0,6.8,-4.0,46.6,0,0.0,0,23.4,11.4,254.1,48.1,17.3,291.5,25.1,9,0.42,13.218333333333334,1020.4,46.82388070699589
14,17.5,3.3,11.3,17.5,3.3,11.3,-0.2,47.6,0,0.0,0,27.7,13.2,31.4,32.1,13.8,296.8,25.6,9,0.45,13.260277777777778,1018.3,55.18717094922131
15,19.1,4.5,12.5,19.1,2.9,12.4,0.6,46.4,0,0.0,0,23.0,8.7,306.9,51.3,17.5,285.8,24.6,9,0.5,13.301944444444445,1014.9,62.407839943576604
16,17.2,6.8,12.1,17.2,5.3,12.0,2.4,52.2,0,0.0,0,34.2,11.8,26.5,77.0,17.2,125.2,10.8,6,0.52,13.343055555555555,1010.2,68.69048041712738
17,24.9,12.6,18.2,24.9,12.6,18.2,1.8,36.9,100,4.17,1,71.6,22.3,222.4,56.6,17.5,300.7,25.9,9,0.56,13.384444444444444,999.6,48.250582201268664
18,13.3,8.3,10.4,13.3,6.3,10.2,5.3,71.7,100,8.33,1,39.2,14.0,234.0,65.2,13.6,172.4,15.0,8,0.59,13.425555555555556,1005.2,56.477303600676194
19,13.1,3.7,8.6,13.1,3.0,8.1,-0.1,58.4,0,0.0,0,37.1,15.0,235.3,52.9,13.9,313.0,27.0,9,0.63,13.466388888888888,1014.5,58.104334486650885
20,15.2,4.8,10.3,15.2,4.8,10.3,-0.2,49.5,0,0.0,0,44.6,13.6,250.9,55.4,17.6,311.0,26.9,9,0.66,13.506944444444445,1015.0,55.45092929705675
21,20.1,4.3,12.6,20.1,4.3,12.6,0.9,47.0,0,0.0,0,19.1,6.6,336.5,52.5,17.5,308.8,26.6,9,0.7,13.547222222222222,1016.6,64.83713580421764
22,24.7,8.2,17.2,24.7,7.4,17.0,2.5,41.2,0,0.0,1,27.4,7.4,47.7,51.4,14.1,305.8,26.4,9,0.75,13.5875,1009.9,72.34747475134128
23,27.0,9.2,18.7,26.6,9.2,18.6,2.4,37.6,0,0.0,0,25.6,8.2,317.6,32.1,15.8,312.6,27.1,9,0.77,13.6275,1007.1,71.00708211298738
24,28.8,12.3,20.5,27.2,12.3,20.2,1.4,32.1,0,0.0,0,37.1,15.1,329.5,22.7,17.5,315.7,27.2,9,0.81,13.666666666666666,1005.5,67.14265282813209
25,26.1,11.2,19.3,26.1,11.2,19.3,2.4,34.1,0,0.0,0,29.9,11.1,264.0,36.9,17.2,303.1,26.2,9,0.84,13.706111111111111,1007.0,69.87791405670947
26,26.6,12.4,19.9,26.6,12.4,19.9,3.3,35.6,0,0.0,1,35.3,19.2,26.8,68.6,13.1,263.1,22.9,9,0.88,13.745277777777778,1007.9,76.97878332734422
27,25.6,12.9,19.3,25.6,12.9,19.3,5.2,41.0,100,4.17,1,53.6,17.1,34.6,34.8,14.2,316.8,27.3,9,0.91,13.783888888888889,1009.6,53.946303506413905
28,26.6,7.9,19.0,26.6,7.9,19.0,4.2,40.4,0,0.0,0,44.6,28.8,34.2,55.1,17.1,316.3,27.3,9,0.95,13.822222222222223,1010.8,68.53344756456359
29,20.1,14.8,17.1,20.1,14.8,17.1,8.5,57.7,100,12.5,1,29.2,14.6,4.9,82.9,16.9,203.0,17.4,8,0.0,13.860277777777778,1009.0,72.68389928193182
30,15.0,11.2,12.8,15.0,11.2,12.8,6.6,66.4,100,4.17,1,27.7,16.6,27.1,88.7,12.8,39.7,3.4,1,0.02,13.897777777777778,1012.3,67.79598528742585
31,19.1,7.2,13.5,19.1,5.8,13.4,4.7,58.3,0,0.0,0,22.3,10.5,59.6,70.0,14.1,305.5,26.4,9,0.05,13.935,1012.2,78.00023111009877
32,19.9,12.4,14.9,19.9,12.4,14.9,8.1,65.5,100,12.5,1,29.5,13.6,29.2,85.4,16.3,214.3,18.5,8,0.08,13.972222222222221,1007.3,73.79440340339522
33,15.5,9.8,12.6,15.5,9.4,12.5,8.6,78.1,100,12.5,1,29.2,12.9,300.8,83.1,17.0,134.5,11.8,4,0.11,14.008611111111112,1009.1,62.238443418458104
34,14.5,8.1,10.6,14.5,7.3,10.3,1.9,56.0,100,4.17,1,36.0,18.6,16.3,76.9,13.5,163.6,14.2,6,0.15,14.044722222222223,1014.5,50.98939620931586
35,14.0,7.7,10.3,14.0,7.1,10.1,2.6,59.1,100,4.17,1,41.8,18.3,343.6,84.1,14.2,165.2,14.2,6,0.18,14.080555555555556,1016.5,52.13808086748098
36,14.6,7.1,10.7,14.6,7.1,10.6,2.4,57.5,0,0.0,1,25.9,14.7,24.5,61.6,17.9,142.3,12.1,6,0.21,14.115833333333333,1016.6,67.27041077786485
37,18.9,4.5,12.1,18.9,4.5,12.1,2.4,54.9,0,0.0,0,24.1,10.3,54.8,34.4,17.5,320.3,27.7,10,0.25,14.150833333333333,1018.0,64.42847142440854
38,20.8,6.2,14.2,20.8,6.2,14.2,1.9,48.0,0,0.0,0,29.9,12.3,51.3,62.1,15.3,330.2,28.6,10,0.25,14.185277777777777,1015.5,69.00464086304068
39,20.6,8.0,14.9,20.6,6.1,14.5,2.0,45.1,0,0.0,0,26.6,14.9,41.5,25.8,17.5,338.4,29.2,10,0.31,14.21888888888889,1015.2,62.9734898055565
40,20.8,8.0,14.9,20.8,8.0,14.9,2.1,44.8,100,4.17,1,38.9,17.5,340.2,63.0,17.0,328.3,28.5,10,0.34,14.2525,1013.9,49.77993533702124
41,21.7,7.1,15.2,21.7,7.1,15.2,1.8,46.5,100,4.17,1,20.5,10.0,31.0,41.0,17.2,344.3,29.8,10,0.38,14.285277777777777,1018.4,51.72960596924367
42,24.7,8.6,17.6,24.7,8.0,17.6,0.4,33.9,0,0.0,0,18.4,8.3,44.4,9.2,13.1,344.3,29.7,10,0.41,14.317777777777778,1017.2,62.66634017779681
43,25.2,10.4,18.7,25.2,10.4,18.7,1.8,34.9,0,0.0,0,31.3,14.3,244.0,39.1,14.1,341.5,29.4,10,0.44,14.349444444444444,1012.2,68.45282315579634
44,19.3,12.7,16.2,19.3,12.7,16.2,8.6,61.9,100,8.33,1,34.6,15.5,21.1,76.6,16.3,163.9,14.3,8,0.47,14.38111111111111,1012.3,69.83954403843602
45,23.6,9.1,15.8,23.6,9.1,15.8,8.7,66.1,100,4.17,1,46.4,25.3,49.5,56.7,17.5,244.6,21.2,9,0.5,14.411666666666667,1016.7,65.00160580847137
46,21.7,10.5,16.6,21.7,10.5,16.6,8.5,62.2,100,4.17,1,37.1,10.9,56.5,52.4,13.6,312.1,27.0,10,0.54,14.441944444444445,1014.5,66.95085010715755
47,25.5,9.3,18.4,25.5,9.3,18.4,6.3,50.4,0,0.0,0,42.8,14.9,258.6,27.8,14.4,343.4,29.8,10,0.58,14.471388888888889,1010.6,73.82836797512621
48,17.3,8.6,12.0,17.3,7.2,11.7,2.3,53.1,100,4.17,1,37.1,20.2,0.6,80.2,17.0,274.0,23.5,9,0.61,14.500277777777777,1017.0,52.925897872303835
49,19.5,4.1,12.6,19.5,3.0,12.4,-0.4,44.4,0,0.0,0,52.3,9.4,60.7,59.8,17.5,352.3,30.3,10,0.65,14.528611111111111,1022.5,57.620398552475635
50,24.3,7.0,16.7,24.3,7.0,16.7,2.0,40.7,0,0.0,0,19.1,7.2,56.2,21.1,17.5,352.8,30.3,10,0.68,14.556111111111111,1017.0,65.7936387782649
51,26.1,9.6,18.8,26.1,9.5,18.8,1.0,34.7,0,0.0,0,43.9,23.8,2.7,20.0,17.5,352.0,30.3,10,0.75,14.583333333333334,1005.7,60.801652030491184
52,20.5,12.7,16.5,20.5,12.7,16.5,7.0,54.4,100,8.33,1,42.5,14.9,335.9,63.5,17.2,229.2,19.9,8,0.75,14.609444444444444,1004.3,62.46027896855028
53,21.6,9.4,15.9,21.6,9.4,15.9,3.6,47.7,0,0.0,0,32.4,13.5,344.6,28.6,17.0,321.2,27.7,10,0.79,14.635,1010.6,67.93875965171758
54,25.0,11.5,17.8,25.0,11.5,17.8,4.1,42.1,0,0.0,0,37.1,10.2,351.7,49.7,17.5,307.9,26.7,10,0.82,14.659722222222221,1014.2,74.38913868663427
55,28.7,11.2,20.7,27.3,11.2,20.4,6.6,43.3,0,0.0,0,42.5,14.1,321.5,18.0,16.9,346.8,29.9,10,0.86,14.68388888888889,1015.3,72.70497910678577
56,26.3,15.6,22.2,26.3,15.6,22.2,9.2,46.2,0,0.0,0,25.9,12.1,13.2,37.4,17.5,286.7,24.7,9,0.89,14.707222222222223,1013.5,86.48805811533784
57,27.7,14.7,21.9,26.5,14.7,21.7,7.1,42.1,0,0.0,0,29.5,13.0,257.4,35.3,17.2,347.8,30.0,10,0.93,14.73,1009.4,82.58672729438968
58,30.9,13.6,23.5,29.1,13.6,22.9,7.4,38.2,100,4.17,1,24.1,12.1,22.5,23.2,16.6,347.8,30.0,10,0.96,14.751666666666667,1009.3,59.29555775766727
59,32.2,18.1,25.7,30.0,18.1,24.8,7.1,36.4,100,4.17,1,43.9,15.9,250.5,46.2,14.5,348.8,30.0,10,0.0,14.772777777777778,1007.4,63.63070663707056
60,30.6,17.5,24.8,28.7,17.5,24.2,7.7,35.8,0,0.0,0,35.3,21.8,25.2,40.4,17.5,351.3,30.4,10,0.03,14.792777777777777,1007.4,79.61309824858735
61,31.3,16.7,24.7,29.2,16.7,24.1,6.8,33.9,0,0.0,1,44.6,28.7,35.2,47.6,17.5,303.3,26.1,10,0.06,14.811944444444444,1007.6,75.02901795433594
62,31.9,16.9,25.5,30.1,16.9,24.8,8.5,36.5,0,0.0,1,35.6,23.6,37.5,58.1,17.2,307.3,26.4,9,0.1,14.830555555555556,1006.6,81.35898145042395
63,32.5,18.8,25.5,30.7,18.8,25.0,11.3,43.7,100,4.17,1,46.4,19.9,12.7,84.0,11.4,331.8,28.6,9,0.13,14.848333333333333,1005.0,74.64299662234738
64,32.7,17.7,25.1,30.5,17.7,24.5,10.5,44.9,100,8.33,1,37.1,20.7,21.5,59.2,16.4,319.0,27.5,10,0.16,14.865,1005.8,70.0584899945596
65,30.3,13.6,23.2,28.7,13.6,22.9,10.2,46.1,100,8.33,1,37.1,23.0,41.3,56.5,17.2,286.0,24.7,9,0.2,14.880833333333333,1007.4,66.61641513307019
66,27.9,17.0,22.0,27.2,17.0,22.0,11.4,52.2,100,8.33,1,38.9,24.0,45.5,50.9,15.6,330.9,28.4,10,0.23,14.895555555555555,1006.6,74.53167619896126
67,25.2,15.3,19.2,25.2,15.3,19.2,13.1,69.9,100,12.5,1,53.6,20.8,38.6,70.3,12.8,277.1,23.8,10,0.25,14.909722222222221,1006.5,81.52596208550298
68,26.0,14.7,19.5,26.0,14.7,19.5,14.1,74.3,100,12.5,1,27.7,14.1,56.9,61.3,16.2,268.4,23.1,9,0.3,14.923055555555555,1005.7,82.48322298583709
69,25.4,14.8,20.1,25.4,14.8,20.1,11.7,62.5,100,4.17,1,36.4,13.3,229.3,51.1,17.0,347.2,30.1,10,0.33,14.935277777777777,1006.6,77.28403813938667
70,26.5,14.7,21.3,26.5,14.7,21.3,13.4,63.2,100,12.5,1,35.3,13.7,2.1,60.6,13.8,255.3,22.0,9,0.36,14.946388888888889,1008.1,82.11202858683586
71,27.5,16.6,19.8,27.5,16.6,19.8,14.5,73.0,100,12.5,1,40.7,20.2,34.0,67.2,10.6,263.4,22.6,10,0.4,14.956944444444444,1006.8,85.60976366001827
72,24.0,15.3,18.5,24.0,15.3,18.5,13.1,72.3,100,4.17,1,33.5,15.5,281.4,73.1,16.4,305.8,26.4,10,0.43,14.966111111111111,1001.4,82.4905653967414
73,22.5,15.3,17.9,22.5,15.3,17.9,13.9,78.3,100,12.5,1,32.4,10.5,14.2,73.6,15.9,182.8,15.9,8,0.46,14.974444444444444,1004.3,77.7170509011619
74,26.1,13.7,19.1,26.1,13.7,19.1,13.3,71.7,100,8.33,1,50.0,23.6,30.5,57.6,15.6,195.0,17.0,10,0.5,14.981944444444444,1008.0,76.96798287775603
75,25.9,14.3,20.4,25.9,14.3,20.4,12.1,62.9,100,8.33,1,39.6,16.7,29.7,49.0,16.3,350.0,30.3,10,0.53,14.988055555555556,1012.7,76.42331809984437
76,26.6,14.4,21.1,26.6,14.4,21.1,11.6,57.2,0,0.0,0,33.5,20.3,37.9,39.9,17.5,265.9,22.8,9,0.56,14.99388888888889,1013.1,89.67475918854038
77,26.4,16.4,20.3,26.4,16.4,20.3,12.9,64.0,100,8.33,1,35.3,17.6,36.7,59.2,17.2,239.6,20.4,10,0.6,14.998333333333333,1011.8,81.81392670412593
78,28.6,15.2,22.3,27.7,15.2,22.1,12.2,56.0,0,0.0,1,33.5,23.8,37.3,29.6,17.2,349.5,30.1,10,0.63,15.001666666666667,1009.5,89.07921860862142
79,27.0,17.5,22.5,26.6,17.5,22.4,11.0,49.6,100,4.17,1,37.1,21.1,31.2,54.4,17.5,279.4,23.9,10,0.67,15.004166666666666,1009.9,74.10681114477015
80,30.4,16.3,24.0,29.0,16.3,23.6,10.5,45.2,0,0.0,0,27.7,15.7,45.9,19.7,17.6,336.2,29.0,10,0.7,15.005555555555556,1008.0,83.04299891909366
81,24.8,16.6,20.7,24.8,16.6,20.7,12.6,61.2,100,16.67,1,31.7,17.5,335.7,65.7,16.7,267.5,23.1,9,0.75,15.00611111111111,1003.3,80.97963934383873
82,26.8,14.1,20.4,26.6,14.1,20.3,10.5,56.5,100,8.33,1,42.5,16.3,285.2,39.5,15.5,287.3,24.8,9,0.77,15.005555555555556,1005.6,70.713433047213
83,25.6,14.2,21.0,25.6,14.2,21.0,6.0,39.5,0,0.0,0,33.8,13.1,297.3,37.2,15.6,352.1,30.4,9,0.8,15.00388888888889,1007.4,77.48332538244405
84,21.7,14.9,18.7,21.7,14.9,18.7,8.0,50.4,100,4.17,1,35.3,16.8,331.8,64.8,17.2,239.8,20.5,9,0.84,15.001388888888888,1007.7,66.44938712759806
85,21.6,15.8,18.5,21.6,15.8,18.5,9.4,56.3,0,0.0,0,50.0,19.9,293.1,55.6,16.9,133.3,11.6,6,0.87,14.998055555555556,1008.7,83.60448018649573
86,21.6,14.0,17.8,21.6,14.0,17.8,9.2,57.7,0,0.0,0,36.7,16.9,299.4,58.9,17.2,288.3,24.8,8,0.91,14.993611111111111,1009.6,85.29200306424225
87,20.0,14.7,17.0,20.0,14.7,17.0,12.2,74.3,100,8.33,1,39.6,11.3,255.2,82.2,12.7,86.6,7.6,4,0.94,14.988055555555556,1010.2,77.42946524568242
88,21.6,14.9,18.0,21.6,14.9,18.0,13.8,78.4,100,8.33,1,40.3,14.0,319.4,84.0,16.6,199.9,17.2,9,0.97,14.981388888888889,1008.3,76.28575447877493
89,24.6,14.7,19.3,24.6,14.7,19.3,11.9,64.5,100,4.17,1,35.3,20.3,35.2,57.7,17.1,226.4,19.6,9,0.0,14.974166666666667,1009.2,77.15424326275773
90,26.7,16.1,19.8,26.6,16.1,19.8,13.5,69.3,100,4.17,1,35.6,16.1,33.8,59.3,14.4,230.7,19.8,9,0.04,14.965833333333334,1008.9,85.56011948822753
91,25.6,15.9,19.5,25.6,15.9,19.5,15.3,78.7,100,12.5,1,38.9,21.2,33.1,64.6,14.1,243.8,21.0,9,0.08,14.956388888888888,1009.9,78.17441204490322
92,27.7,14.6,21.7,27.1,14.6,21.6,11.7,56.5,100,4.17,1,40.7,19.0,38.0,18.2,17.5,355.8,30.7,10,0.11,14.945833333333333,1011.8,69.18550102324839
93,26.6,14.4,21.4,26.6,14.4,21.4,6.7,43.7,0,0.0,0,40.0,20.6,41.0,8.3,17.3,366.5,31.7,10,0.15,14.934722222222222,1012.1,74.2484486196315
94,27.0,12.4,20.8,26.6,12.4,20.7,4.8,39.4,0,0.0,0,40.7,20.8,40.5,0.0,17.5,369.9,31.9,10,0.18,14.9225,1011.1,67.39092105747942
95,28.0,13.7,21.7,26.8,13.7,21.5,7.1,42.6,0,0.0,0,33.5,17.0,42.4,0.0,17.5,365.0,31.5,10,0.21,14.909722222222221,1009.3,74.55114543045568
96,29.3,15.0,23.3,27.8,15.0,22.9,9.3,43.6,0,0.0,0,48.2,21.4,41.0,2.2,17.5,361.7,31.1,10,0.25,14.895555555555555,1006.5,73.76427583349162
97,30.7,17.2,23.8,29.1,17.2,23.4,10.9,47.2,0,0.0,1,38.8,29.5,12.0,40.3,16.3,345.8,29.7,10,0.25,14.880555555555556,1006.1,84.23246948557177
98,30.5,15.0,23.9,29.1,15.0,23.5,11.8,50.0,0,0.0,0,33.5,18.3,19.8,45.7,16.6,318.5,27.4,10,0.32,14.864722222222222,1007.1,87.91329112742966
99,30.2,17.7,22.6,29.6,17.7,22.4,15.6,69.0,100,8.33,1,35.3,17.5,28.2,72.7,16.4,270.6,23.5,10,0.35,14.848055555555556,1003.1,90.07622326862405
100,25.5,16.3,20.4,25.5,16.3,20.4,14.4,70.8,100,4.17,1,37.4,22.8,311.4,56.6,17.2,295.5,25.6,9,0.38,14.830555555555556,1001.9,82.8767288399086
101,26.1,15.1,21.1,26.1,15.1,21.1,10.6,53.1,0,0.0,0,27.7,15.5,20.0,36.7,17.5,346.0,29.9,10,0.42,14.812222222222223,1008.7,88.39888502535744
102,28.4,16.1,22.4,27.3,16.1,22.3,10.4,49.4,0,0.0,0,27.7,17.0,32.0,39.8,17.5,317.5,27.5,10,0.45,14.793055555555556,1011.5,89.64051039445175
103,28.7,17.0,23.1,27.7,17.0,22.8,11.8,51.5,0,0.0,0,31.7,20.3,34.0,46.0,17.5,277.8,23.9,10,0.5,14.772777777777778,1009.6,92.16094689109063
104,27.2,17.7,22.3,26.6,17.7,22.2,11.3,52.4,0,0.0,0,33.5,20.1,31.8,39.6,17.5,323.6,27.9,10,0.52,14.751944444444444,1011.0,91.45820711197065
105,25.5,14.9,21.2,25.5,14.9,21.2,11.3,54.2,0,0.0,0,33.5,20.0,47.4,30.0,17.7,341.2,29.4,10,0.55,14.730277777777777,1008.8,85.58816276084217
106,29.5,15.3,22.7,28.2,15.3,22.5,11.7,53.2,0,0.0,0,36.0,18.9,31.2,20.5,17.5,343.4,29.7,10,0.59,14.708055555555555,1009.5,85.36267969049428
107,28.4,16.1,23.2,27.6,16.1,23.0,11.8,50.6,0,0.0,0,45.7,21.6,31.7,26.8,17.5,339.2,29.2,10,0.62,14.684722222222222,1011.5,85.18816716293918
108,27.3,16.4,21.9,26.7,16.4,21.9,10.5,49.7,0,0.0,0,44.3,22.6,26.1,35.2,17.5,268.4,23.1,10,0.65,14.661111111111111,1012.7,84.92834055771702
109,25.4,16.9,21.1,25.4,16.9,21.1,11.0,53.3,0,0.0,0,38.9,24.7,36.6,45.3,17.5,333.8,28.9,10,0.69,14.636388888888888,1012.9,87.73792593280199
110,26.6,14.1,20.9,26.6,14.1,20.9,8.5,46.8,0,0.0,0,38.9,23.4,41.4,18.6,17.5,346.0,29.9,10,0.75,14.61111111111111,1012.1,76.92179674464914
111,27.8,14.2,21.5,26.7,14.2,21.4,7.6,43.4,0,0.0,0,37.1,17.7,29.5,18.3,17.5,346.8,29.9,10,0.75,14.585,1010.2,77.56537090299938
112,29.2,14.7,22.5,27.7,14.7,22.2,8.7,44.4,0,0.0,0,37.8,13.7,357.4,11.1,17.6,344.3,29.7,10,0.79,14.558333333333334,1010.1,77.8336768085561
113,28.2,14.7,22.5,26.9,14.7,22.2,6.4,37.9,0,0.0,0,39.2,18.7,24.9,13.0,17.5,347.5,30.0,10,0.82,14.530833333333334,1011.6,73.83850523921329
114,29.4,14.5,22.7,27.8,14.5,22.3,6.6,38.5,0,0.0,0,36.4,17.5,29.8,6.6,17.5,347.2,29.9,10,0.85,14.503055555555555,1010.4,72.40128751771006
115,29.4,15.7,23.5,27.8,15.7,23.0,8.0,40.2,0,0.0,0,29.9,17.3,36.9,22.5,17.6,340.1,29.4,10,0.89,14.474444444444444,1008.1,79.43943838810512
116,29.6,17.1,24.2,28.2,17.1,23.8,9.4,40.8,0,0.0,0,27.7,14.9,33.7,16.3,17.5,338.0,29.3,10,0.92,14.445,1006.5,81.49787144249551
117,32.1,17.8,25.6,30.1,17.8,24.9,9.8,40.5,0,0.0,0,27.7,15.5,38.8,8.5,17.5,339.3,29.5,10,0.95,14.415277777777778,1005.8,79.02006829949379
118,33.6,18.9,27.0,31.2,18.9,26.0,7.6,33.3,0,0.0,0,29.5,13.1,35.8,0.7,17.5,339.0,29.4,10,0.0,14.385,1006.5,73.64310236837615
119,34.4,19.7,27.7,31.9,19.7,26.7,6.6,29.8,0,0.0,0,31.7,15.2,41.5,4.5,17.5,336.9,29.1,10,0.02,14.35388888888889,1006.6,71.74487598287584
120,34.4,20.5,27.8,32.2,20.5,26.8,8.0,31.4,0,0.0,0,34.2,15.3,27.8,12.4,17.5,334.5,28.8,10,0.06,14.3225,1005.0,73.80297744451559
121,34.5,19.5,27.6,32.0,19.5,26.7,9.1,34.7,0,0.0,0,33.5,14.8,4.6,11.8,17.5,332.1,28.6,10,0.09,14.290555555555555,1002.6,75.65634406791098
122,33.3,21.0,27.5,31.7,21.0,27.0,13.6,45.0,0,0.0,0,32.4,20.5,2.8,27.2,16.6,324.0,28.1,9,0.13,14.257777777777777,1002.7,85.83159921011051
123,31.9,20.1,25.9,30.5,20.1,25.5,13.1,46.9,0,0.0,0,31.0,14.9,311.1,30.2,17.2,311.8,27.1,9,0.16,14.225,1004.5,89.37310452636054
124,32.7,19.3,26.2,31.6,19.3,25.8,13.2,46.6,0,0.0,0,33.5,19.7,27.4,29.0,17.5,322.1,27.9,9,0.2,14.19138888888889,1006.4,86.36598461275658
125,33.7,21.1,26.7,32.5,21.1,26.5,15.1,51.4,100,8.33,1,44.6,19.7,31.3,56.5,17.5,232.0,20.1,9,0.23,14.1575,1006.8,74.66161318676906
126,34.2,22.6,27.4,33.4,22.6,27.4,16.3,53.2,100,8.33,1,37.1,25.9,26.3,49.2,16.9,277.1,23.9,9,0.25,14.123055555555556,1005.9,74.05887230712467
127,33.3,20.8,26.4,32.7,20.8,26.3,15.8,54.9,0,0.0,1,43.6,25.7,29.4,49.6,16.5,279.9,24.2,9,0.3,14.088055555555556,1003.5,92.60693914052881
128,30.5,20.1,24.6,29.9,20.1,24.5,16.5,64.2,100,8.33,1,42.5,18.9,38.5,50.4,17.0,308.8,26.6,9,0.34,14.053055555555556,1002.6,85.26803364541965
129,31.3,20.1,25.9,29.8,20.1,25.4,12.6,47.1,0,0.0,0,28.4,17.6,37.8,34.7,17.5,309.8,26.8,9,0.37,14.017222222222221,1004.8,90.88952554484327
130,31.5,19.8,25.9,30.0,19.8,25.5,12.1,43.9,0,0.0,0,37.1,13.5,27.9,35.5,17.2,276.6,23.9,9,0.41,13.981111111111112,1004.9,87.72849922460881
131,31.1,19.6,24.9,30.0,19.6,24.7,13.6,51.0,100,4.17,1,48.2,29.5,12.4,42.3,16.3,267.3,23.3,9,0.44,13.944722222222222,1004.9,71.45340595517608
132,29.5,20.7,24.5,28.1,20.7,24.1,9.2,39.0,100,4.17,1,34.9,15.2,343.5,46.3,17.2,306.5,26.6,9,0.48,13.908055555555556,1006.0,69.92940567382465
133,30.7,17.3,24.8,29.3,17.3,24.4,11.2,44.7,0,0.0,0,27.7,12.8,16.4,32.6,17.5,309.8,27.0,9,0.5,13.870833333333334,1007.2,86.70354603277738
134,32.8,20.4,26.7,31.2,20.4,26.1,12.3,44.0,0,0.0,0,29.9,16.4,33.6,42.0,17.5,308.8,26.8,9,0.54,13.833333333333334,1003.6,88.76060534577276
135,32.3,20.2,26.0,30.8,20.2,25.5,12.6,45.7,100,8.33,1,40.7,15.9,355.1,53.2,15.0,279.7,24.3,9,0.58,13.795555555555556,1001.1,73.45731568730372
136,30.4,19.5,24.4,29.5,19.5,24.3,14.8,57.0,100,4.17,1,70.6,13.6,254.0,42.1,17.0,252.9,21.8,9,0.61,13.7575,1001.6,74.47402643076529
137,29.5,16.9,23.4,28.0,16.9,23.0,12.0,53.6,0,0.0,0,26.6,14.8,229.9,12.4,16.7,306.8,26.5,9,0.64,13.71888888888889,1009.1,88.87751547552456
138,30.9,17.5,24.9,29.1,17.5,24.4,11.6,47.3,0,0.0,0,29.2,12.4,357.8,14.3,17.5,303.5,26.3,9,0.67,13.680277777777778,1006.6,85.20446257810725
139,31.5,18.6,25.8,30.0,18.6,25.3,11.3,42.8,0,0.0,0,31.3,17.2,27.3,20.6,17.5,304.0,26.4,9,0.71,13.641388888888889,1005.4,83.3560698459696
140,30.8,18.7,24.7,29.4,18.7,24.4,11.4,44.5,0,0.0,0,34.2,18.2,350.2,25.9,17.5,292.8,25.2,9,0.75,13.601944444444445,1004.8,84.5601304934703
141,31.3,18.1,25.2,29.8,18.1,24.8,12.6,48.3,0,0.0,0,31.7,14.3,16.8,25.4,16.6,295.4,25.4,9,0.77,13.562777777777777,1005.7,87.60599938849124
142,31.9,20.6,26.9,30.3,20.6,26.3,12.5,43.5,0,0.0,0,25.6,13.0,37.4,42.0,17.5,297.1,25.4,9,0.8,13.523055555555555,1001.7,90.82230695727522
